Российский университет дружбы народов;Cluster0;Cluster0
Смоленская государственная академия физической культуры, спорта и туризма;Cluster149;Cluster385
Тамбовский государственный музыкально-педагогический институт им. С.В. Рахманинова;Cluster181;Cluster385
Омский государственный аграрный университет имени П.А. Столыпина;Cluster97;Cluster385
Томский государственный архитектурно-строительный университет;Cluster122;Cluster385
Саратовский государственный медицинский университет имени В.И. Разумовского;Cluster65;Cluster385
Российский государственный университет им.А.Н.Косыгина (Технологии. Дизайн. Искусство);Cluster158;Cluster385
Государственный университет управления;Cluster55;Cluster385
Сибирский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster21;Cluster385
Санкт-Петербургский государственный экономический университет;Cluster41;Cluster385
Рязанский государственный агротехнологический университет имени П.А. Костычева;Cluster178;Cluster385
Сибирский государственный университет геосистем и технологий;Cluster59;Cluster385
Амурский государственный университет;Cluster182;Cluster385
Калмыцкий государственный университет им. Б.Б.Городовикова;Cluster88;Cluster385
Новосибирский государственный университет экономики и управления НИНХ;Cluster174;Cluster385
Астраханский государственный технический университет;Cluster144;Cluster385
Ивановский государственный университет;Cluster74;Cluster385
Пензенский государственный университет архитектуры и строительства;Cluster176;Cluster385
Новосибирский государственный архитектурно-строительный университет (Сибстрин);Cluster108;Cluster385
Чувашский государственный педагогический университет им. И.Я. Яковлева;Cluster90;Cluster385
Казанская государственная консерватория имени Н.Г. Жиганова;Cluster183;Cluster385
Дипломатическая академия Министерства иностранных дел Российской Федерации;Cluster185;Cluster385
Автономная некоммерческая организация высшего образования Российский новый университет;Cluster124;Cluster385
Российский государственный геологоразведочный университет имени Серго Орджоникидзе;Cluster82;Cluster385
Омский государственный университет им. Ф.М. Достоевского;Cluster136;Cluster385
Оренбургский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster56;Cluster385
Смоленский государственный медицинский университет;Cluster140;Cluster385
Калининградский государственный технический университет;Cluster115;Cluster385
Томский государственный педагогический университет;Cluster152;Cluster385
Брянский государственный аграрный университет;Cluster167;Cluster385
Омский государственный университет путей сообщения;Cluster85;Cluster385
Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова;Cluster148;Cluster385
Алтайский государственный технический университет им. И.И. Ползунова;Cluster116;Cluster385
Поволжский государственный технологический университет;Cluster58;Cluster385
Кабардино-Балкарский государственный университет им. Х.М. Бербекова;Cluster155;Cluster385
Тверской государственный технический университет;Cluster147;Cluster385
Уральский государственный экономический университет;Cluster173;Cluster385
Омский государственный педагогичесий университет;Cluster98;Cluster385
Алтайский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster75;Cluster385
Ростовский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster151;Cluster385
Ставропольский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster81;Cluster385
Санкт-Петербургская государственная химико-фармацевтическая академия;Cluster112;Cluster385
Владивостокский государственный университет экономики и сервиса;Cluster166;Cluster385
Марийский государственный университет;Cluster57;Cluster385
Российский государственный университет туризма и сервиса;Cluster79;Cluster385
Астраханский государственный университет;Cluster43;Cluster385
Рязанский государственный медицинский университет имени академика И.П. Павлова;Cluster96;Cluster385
Ульяновская государственная сельскохозяйственная академия имени П.А. Столыпина;Cluster170;Cluster385
Башкирский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster86;Cluster385
Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича;Cluster128;Cluster385
Государственный университет морского и речного флота имени адмирала С.О. Макарова;Cluster164;Cluster385
Российский государственный гидрометеорологический университет;Cluster102;Cluster385
Омский государственный медицинский университет Министерства здравоохранния Российской Федерации;Cluster113;Cluster385
Новосибирский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster119;Cluster385
Московская государственная консерватория имени П.И. Чайковского;Cluster30;Cluster385
Северный государственный медицинский университет;Cluster110;Cluster385
Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова;Cluster49;Cluster385
Санкт-Петербургский государственный педиатрический медицинский университет;Cluster156;Cluster385
Донской государственный технический университет;Cluster72;Cluster385
Тверской государственный университет;Cluster188;Cluster385
Российский государственный педагогический университет им. А. И. Герцена;Cluster48;Cluster385
Башкирский государственный университет;Cluster99;Cluster385
Саратовский государственный технический университет имени Гагарина Ю.А.;Cluster50;Cluster385
Российский государственный социальный университет;Cluster70;Cluster385
Северо-Кавказский федеральный университет;Cluster42;Cluster385
Российский экономический университет имени Г.В. Плеханова;Cluster46;Cluster385
Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;Cluster139;Cluster385
Казанский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster64;Cluster385
Чувашский государственный университет имени И.Н. Ульянова;Cluster68;Cluster385
Балтийский федеральный университет имени Иммануила Канта;Cluster31;Cluster385
Омский государственный технический университет;Cluster63;Cluster385
Белгородский государственный технологический университет им. В.Г. Шухова;Cluster94;Cluster385
Тамбовский государственный технический университет;Cluster117;Cluster385
Санкт-Петербургский государственный университет аэрокосмического приборостроения;Cluster134;Cluster385
Санкт-Петербургский государственный университет промышленных технологий и дизайна;Cluster107;Cluster385
Московский государственный институт международных отношений (университет);Cluster18;Cluster385
Северо-Западный государственный медицинский университет имени И.И. Мечникова;Cluster157;Cluster385
Уфимский государственный нефтяной технический университет;Cluster53;Cluster385
Национальный исследовательский Мордовский государственный университет им. Н.П.Огарева;Cluster61;Cluster385
Московский педагогический государственный университет;Cluster73;Cluster385
Новосибирский государственный технический университет;Cluster24;Cluster385
Российский государственный аграрный университет - МСХА имени К.А.Тимирязева;Cluster28;Cluster385
Воронежский государственный университет;Cluster101;Cluster385
Московской области Московский государственный областной университет;Cluster123;Cluster385
Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского;Cluster47;Cluster385
Волгоградский государственный технический университет;Cluster106;Cluster385
Самарский государственный технический университет;Cluster126;Cluster385
Петрозаводский государственный университет;Cluster175;Cluster385
Российский национальный исследовательский медицинский университет имени Н.И. Пирогова;Cluster29;Cluster385
Новосибирский национальный исследовательский государственный университет;Cluster38;Cluster385
Петербургский государственный университет путей сообщения Императора Александра I;Cluster135;Cluster385
Московский государственный технологический университет СТАНКИН;Cluster154;Cluster385
Санкт-Петербургский государственный морской технический университет;Cluster189;Cluster385
Сибирский федеральный университет;Cluster32;Cluster385
Санкт-Петербургский государственный электротехнический университет ЛЭТИ им. В.И. Ульянова (Ленина);Cluster35;Cluster385
Южно-Уральский государственный университет (национальный исследовательский университет);Cluster11;Cluster385
Московский государственный университет путей сообщения Императора Николая II (МГУПС (МИИТ));Cluster27;Cluster385
Тамбовский государственный университет имени Г.Р. Державина;Cluster20;Cluster385
Дальневосточный федеральный университет.;Cluster9;Cluster385
Белгородский государственный национальный исследовательский университет;Cluster16;Cluster385
Курский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster44;Cluster385
Волгоградский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster120;Cluster385
