name;okrug;subject;cityname;vedomstvo;specific;y2017I1.1;y2017I1.2;y2017I1.3;y2017I1.4;y2017I1.5;y2017I1.6;y2017I1.7;y2017I1.8;y2017I1.9;y2017I1.10;y2017I1.11;y2017I1.12;y2017I1.13;y2017I1.14;y2017I1.15;y2017I2.1;y2017I2.2;y2017I2.3;y2017I2.4;y2017I2.5;y2017I2.6;y2017I2.7;y2017I2.8;y2017I2.9;y2017I2.10;y2017I2.11;y2017I2.12;y2017I2.13;y2017I2.14;y2017I2.15;y2017I2.16;y2017I3.1;y2017I3.2;y2017I3.3;y2017I3.4;y2017I3.5;y2017I3.6;y2017I3.7;y2017I3.8;y2017I3.9;y2017I3.10;y2017I3.11;y2017I3.12;y2017I3.13;y2017I4.1;y2017I4.2;y2017I4.3;y2017I4.4;y2017I5.1;y2017I5.2;y2017I5.3;y2017I5.4;y2017I5.5;y2017I5.6;y2017I5.7;y2017I5.8;y2017I6.1;y2017I7.1;y2017I7.2;y2017I7.3;y2017I7.4;y2017I7.5
Нижегородский государственный технический университет им. Р.Е. Алексеева;9;73;Нижний Новгород;5;1;66.89;66.69;53.87;49.8;0;4;330;28.85;17.38;20.43;8.69;13.44;5.35;55.24;12.83;113.9;99.02;874.29;20.63;21.75;159.78;443093.6;28.03;92.55;339.29;28;0;4;1.56;3;4;0.58;1.22;0.12;0;0.12;0;0;0;0;0.84;1.12;0;0;777;38.83;174.98;239.13;25.19;0;13.43;11.76;0;0.33;49.24;136.22;85;53.55;16.35;70.28;5.45;83.76
Новгородский государственный университет имени Яярослава Мудрого;5;53;Великий Новгород;5;1;62.34;62.34;58.82;43.22;0;0;92;7.25;5.85;12.41;4.84;81.22;8.69;89.27;7.77;40.68;52.25;234.65;16.58;23.33;108.55;160742.9;14.92;96.54;204.98;0;0;17.21;0.93;3;4.63;5.61;1.32;6.38;5.05;1.33;0.34;0.15;0.14;1;7.57;0.23;0;38890.2;899.55;43.31;194.32;214.79;23.38;0;23.12;0.07;0.19;0.49;3.94;208.18;80;55.13;20.35;78.34;5.2;78.54
Новосибирский государственный аграрный университет;3;14;Новосибирск;6;1;59.86;59.86;52.97;42.88;0;0;275;22.97;10.05;11.53;20.75;33.01;2.48;78.15;16.26;23.51;26.61;995.35;6.46;16.27;434.51;54391.8;5.19;100;120.88;0;0.31;16.57;0;3;4.39;1.04;5.43;2.93;1.33;1.6;0.43;0.75;0;0;0;4.72;0;6810.6;888.34;32.83;166.8;204.68;20.05;0;19.73;0;0.32;0.28;35.72;137.09;70;57.28;18.56;74.17;3.23;79.25
Новосибирский государственный архитектурно-строительный университет (Сибстрин);3;14;Новосибирск;5;1;65.1;65.1;56.26;49.07;0;0;43;5.8;9.37;10.11;14.49;26.75;1.45;79.77;3.71;36.39;112.57;120.39;4.76;11.56;171.06;19886.1;4.01;94.52;58.1;0;0;11.02;0.35;2;0.68;1.37;8.73;3.35;0.89;2.47;0;0;0.28;0;11.11;6.67;0;11313;497.9;29.51;143.98;160.4;13.26;0;13.26;0;0;0.33;4.59;206.59;80;56.33;12.12;66.72;4.21;82.14
Новосибирский государственный медицинский университет Министерства здравоохранения Российской Федерации;3;14;Новосибирск;9;4;81.48;81.33;59.57;41;1;0;243;24.13;0;16.13;0;85.88;20.22;96.02;17.7;180.51;129.02;1106.18;9.45;11.64;137.89;20446.6;2.04;100;23.23;2;0;16.51;1.21;1;2.18;0.67;9.03;3.82;0.34;3.47;0.22;0.37;0;0;0.43;5.53;3499.3;46615.8;660.37;45.35;168.72;215.32;16.49;0;9.21;7.18;0.1;0.31;27.89;64.2;85;45.02;26.25;72.96;9.57;67.38
Новосибирский государственный педагогический университет;3;14;Новосибирск;5;1;70.09;70.04;58.19;44.09;0;1;155;10.44;6.36;7.23;34.22;42.67;2.16;97.2;5.39;7.13;19.61;175.43;9.21;9.8;310.9;35505.9;3.48;100;7.74;0;0;11.22;1.24;7;9.51;0.24;7.44;2.73;0.67;2.06;0.53;0.87;0.68;3;0.69;6.21;0;1617;657.72;43.39;164.23;151.83;8.24;0;8.03;0;0.21;0.43;60.79;142.89;75;53.74;12.93;66.01;3.24;77.81
Новосибирский государственный технический университет;3;14;Новосибирск;5;1;71.76;71.33;58.56;44.01;0;14;169;5.92;15.65;18.32;15.71;14.4;3.31;89.9;8.27;199.19;207.53;1515.56;25.27;37.32;142.04;323497.3;15.2;97.28;200.94;3;0;23.49;1.19;7;5.44;0.3;17.01;11.55;0.35;11.19;0.07;0.1;1.27;17;1.57;7.33;2818.7;10660.1;803.18;41.67;168.78;184.29;11.04;0;11.04;0;0;0.39;40.84;113.12;75;46.38;15.33;59.53;5.07;73.57
Новосибирский государственный университет экономики и управления НИНХ;3;14;Новосибирск;5;1;75.45;75.21;60.91;47.94;0;1;5;0.6;9.37;10.83;27.89;57.12;2.61;87.19;2.38;4.86;2.75;997.89;2.96;5.71;416.53;26460.6;3.42;100;40.77;0;0;12.84;0.89;3;1.06;0.87;2;0.49;0.33;0.16;0.13;0;0.42;2;0.85;3.39;1153.9;11451.4;1166.53;71.44;179.99;170.99;8.85;0;8.83;0;0.02;0.32;3.8;96.75;80;51.26;11.37;62.9;3.12;70.36
Новосибирский национальный исследовательский государственный университет;3;14;Новосибирск;5;1;83.15;81.65;71.13;60;9;56;2;0.12;18.04;22.11;24.21;23.32;5.23;90.94;0.14;1821.16;1483.26;853.58;220.6;253.6;157.81;500258.9;15.55;88.74;342.77;0;0;14.3;0.92;19;10.12;3.74;3.56;5.92;1.38;4.53;0.28;1.48;0.5;16;6.2;8.17;2160.4;60879.9;917.33;29.29;275.58;473.84;18.09;0;16.93;1.11;0.04;0.38;45.98;136.41;0;44.32;24.46;58.43;10.23;19.81
Омский государственный аграрный университет имени П.А. Столыпина;3;15;Омск;6;3;52.18;52.18;49.16;33.21;0;0;3;0.4;14.17;16.02;10.53;88.48;3.16;71.4;9.34;0.96;20.48;705.71;1.28;5.76;602.02;48480;5.86;98.24;75.18;0;0.02;13.54;0.96;2;0.64;0;12.85;6.92;0.21;6.7;0.24;0.05;0;0;0;11.89;1508.1;4600;453.83;17.14;168.93;182.77;24.36;0;24.2;0.16;0;0.44;18.24;206.32;0;62.3;13.68;75.56;3.31;96.5
